,player,g-playoffs,g-season,mp_per_g-season,mp_per_g-playoffs,fg_pct-playoffs,fg_pct-season,fg3_pct-playoffs,fg3_pct-season,fg2_pct-playoffs,fta_per_g-playoffs,fta_per_g-season,ft_pct-playoffs,ft_pct-season,tov_per_g-playoffs,tov_per_g-season,pf_per_g-playoffs,pf_per_g-season,pts_per_g-playoffs,pts_per_g-season,bpm-playoffs,bpm-season,per-playoffs,per-season,ts_pct-playoffs,ts_pct-season,usg_pct-playoffs,usg_pct-season,ws-playoffs,ws-season
0,A.C. Green,11.76923076923077,81.76923076923077,28.684615384615384,27.26153846153846,0.4502307692307692,0.49669230769230766,0.16583333333333333,0.19492307692307692,0.4673846153846154,3.5461538461538464,3.623076923076923,0.7433076923076923,0.731153846153846,0.9615384615384616,1.2,2.1538461538461537,1.9384615384615385,8.453846153846154,10.246153846153845,-0.8384615384615384,-0.09230769230769234,12.430769230769231,14.446153846153846,0.5267692307692308,0.5603076923076923,13.676923076923078,15.076923076923077,0.7461538461538461,6.769230769230769
2,Aaron Gordon,6.666666666666667,67.66666666666667,31.066666666666663,31.566666666666663,0.4426666666666667,0.47733333333333333,0.33033333333333337,0.33966666666666673,0.48666666666666664,3.9666666666666663,3.1,0.6266666666666666,0.7083333333333334,1.8666666666666665,1.9333333333333333,2.766666666666667,2.0,13.366666666666667,14.466666666666667,-0.6,0.033333333333333326,13.833333333333334,14.966666666666667,0.5216666666666666,0.5623333333333334,20.233333333333334,20.733333333333334,0.13333333333333333,4.066666666666666
8,Adrian Dantley,12.4,58.8,30.22,31.139999999999997,0.4466,0.5034000000000001,0.0,0.1875,0.44820000000000004,8.24,8.2,0.7908000000000001,0.8054,2.4400000000000004,2.2399999999999998,2.2399999999999998,2.04,19.82,20.880000000000003,-0.2800000000000001,1.8800000000000001,15.5,19.419999999999998,0.5426,0.5912,25.419999999999998,25.36,1.58,8.48
10,Al Harrington,7.857142857142857,69.71428571428571,26.214285714285715,18.1,0.33828571428571425,0.43657142857142855,0.22585714285714284,0.30885714285714283,0.39571428571428574,1.6714285714285713,2.4285714285714284,0.6394285714285715,0.7194285714285714,0.9285714285714286,1.7857142857142858,2.6571428571428575,2.942857142857143,6.014285714285713,11.542857142857143,-4.8428571428571425,-2.0142857142857142,7.071428571428571,12.799999999999999,0.41085714285714287,0.5134285714285715,19.785714285714285,22.25714285714286,0.1142857142857143,3.0
11,Al Horford,11.307692307692308,68.6923076923077,32.207692307692305,34.707692307692305,0.4958461538461538,0.5142307692307693,0.3372,0.3446153846153846,0.5163076923076922,2.4538461538461536,2.161538461538462,0.7606923076923077,0.7683076923076922,1.676923076923077,1.4923076923076921,2.784615384615385,2.223076923076923,12.992307692307692,13.376923076923077,2.8846153846153846,2.969230769230769,16.646153846153847,18.407692307692308,0.5549999999999999,0.5693076923076923,17.807692307692307,18.576923076923077,1.1384615384615384,7.392307692307692
12,Al Jefferson,5.25,63.0,26.775,28.5,0.48525,0.5035000000000001,0.0,0.15,0.48725,1.575,2.75,0.623,0.68575,0.775,1.075,2.1999999999999997,2.525,14.100000000000001,14.925,2.8499999999999996,0.9000000000000001,19.675,20.075,0.50475,0.52825,23.3,25.1,0.325,5.2
15,Albert King,4.2,69.8,25.56,31.5,0.47059999999999996,0.47919999999999996,0.4375,0.16040000000000001,0.4734,3.06,2.84,0.8042,0.7958000000000001,2.32,2.42,4.5200000000000005,3.12,17.84,14.180000000000001,0.6799999999999999,-0.62,15.440000000000001,15.14,0.5088,0.519,25.660000000000004,25.2,0.14,3.2399999999999998
16,Alec Burks,5.5,59.5,21.15,19.625,0.36875,0.4195,0.24275000000000002,0.366,0.41000000000000003,2.825,2.675,0.80975,0.83325,0.8250000000000001,1.05,1.5,1.65,10.025,10.65,1.1,-0.22499999999999998,14.35,14.649999999999999,0.47575,0.5395,25.975,22.525,0.125,2.6
18,Alex English,6.555555555555555,81.33333333333333,35.388888888888886,35.84444444444445,0.5062222222222222,0.5108888888888888,0.0,0.1807777777777778,0.5085555555555555,5.066666666666666,5.233333333333333,0.8611111111111112,0.8437777777777777,2.2444444444444445,2.6444444444444444,2.7,2.6666666666666665,24.48888888888889,26.211111111111112,2.488888888888889,2.5999999999999996,19.644444444444446,21.0,0.5527777777777777,0.5541111111111111,26.711111111111112,28.255555555555556,0.6222222222222222,8.255555555555555
20,Allan Houston,10.5,75.83333333333333,36.13333333333333,40.583333333333336,0.4626666666666666,0.4455,0.41983333333333334,0.40349999999999997,0.47000000000000003,5.016666666666667,3.8499999999999996,0.8988333333333333,0.8476666666666667,2.733333333333333,2.3833333333333333,2.6666666666666665,2.6,20.366666666666667,17.933333333333334,1.0833333333333333,0.4333333333333333,15.466666666666667,14.633333333333333,0.5728333333333334,0.544,25.05,24.71666666666667,0.7666666666666666,6.1499999999999995
21,Allen Iverson,8.875,69.125,42.1375,44.4125,0.406375,0.423625,0.316125,0.311,0.42825,8.4875,9.6625,0.7715,0.787875,3.05,3.6624999999999996,2.05,1.825,28.474999999999998,28.5875,4.25,4.0,20.6125,21.625,0.49475,0.51875,32.9375,33.075,0.9,8.6
23,Alonzo Mourning,8.636363636363637,60.54545454545455,30.427272727272726,30.436363636363637,0.5634545454545454,0.5315454545454545,0.21875,0.091875,0.5634545454545455,7.390909090909091,6.845454545454545,0.6403636363636364,0.6579999999999999,2.5545454545454542,2.6,3.5818181818181816,3.2181818181818183,15.636363636363637,16.71818181818182,2.9545454545454546,2.209090909090909,19.11818181818182,21.28181818181818,0.5993636363636363,0.5773636363636364,24.027272727272727,25.427272727272726,0.6818181818181818,6.781818181818181
25,Alvan Adams,7.5,77.75,26.9,26.5,0.478,0.4905,,0.111,0.478,2.85,2.85,0.753,0.8295,2.175,2.4,3.475,3.225,13.5,13.399999999999999,1.275,2.925,17.15,17.950000000000003,0.516,0.5367500000000001,22.8,22.525,0.25,5.95
27,Amar'e Stoudemire,7.8,67.0,29.759999999999998,28.619999999999997,0.492,0.5438,0.43050000000000005,0.173625,0.4888,5.84,6.12,0.7617,0.7582,2.27,2.18,3.3299999999999996,3.15,15.95,18.25,-0.4,1.19,17.43,21.62,0.5589000000000001,0.5992,25.380000000000003,25.47,0.76,7.81
32,Andre Miller,6.181818181818182,74.36363636363636,29.436363636363637,29.781818181818185,0.4441818181818182,0.4727272727272727,0.3321,0.22363636363636363,0.4549090909090909,3.627272727272727,3.5,0.7808181818181819,0.8054545454545454,2.209090909090909,2.2363636363636363,2.3181818181818183,2.0636363636363635,13.281818181818181,11.818181818181818,0.8818181818181817,0.9636363636363637,15.781818181818181,16.581818181818182,0.5152727272727273,0.5409090909090909,22.62727272727273,19.69090909090909,0.24545454545454548,5.872727272727274
34,Andrei Kirilenko,7.857142857142857,67.71428571428571,27.042857142857144,25.62857142857143,0.44871428571428573,0.4837142857142857,0.1505,0.27614285714285713,0.48700000000000004,2.9285714285714284,3.9,0.7925714285714286,0.7297142857142858,1.0857142857142856,1.5999999999999999,1.9857142857142858,2.0142857142857142,8.571428571428571,10.071428571428571,3.057142857142857,3.685714285714286,15.299999999999999,16.97142857142857,0.5272857142857144,0.5687142857142857,15.657142857142857,17.385714285714286,0.4428571428571429,5.7
36,Andrew Bynum,12.333333333333334,59.5,25.25,20.733333333333334,0.42450000000000004,0.537,,0.06666666666666667,0.42450000000000004,2.6166666666666667,3.5,0.6692,0.627,0.9,1.5333333333333332,2.0833333333333335,2.433333333333333,8.333333333333334,11.450000000000001,-4.55,0.1333333333333333,11.433333333333332,17.833333333333332,0.45316666666666666,0.5655,19.216666666666665,19.033333333333335,0.8666666666666667,5.366666666666667
38,Andrew Toney,11.2,71.6,28.080000000000002,30.860000000000003,0.471,0.4986,0.1524,0.3456,0.4906,4.36,4.68,0.8173999999999999,0.8054,3.8,3.06,3.84,2.8600000000000003,16.720000000000002,17.0,-2.06,-0.34,12.34,16.580000000000002,0.5198,0.5694,25.76,26.119999999999997,0.5,4.88
39,Andrew Wiggins,13.5,77.5,34.099999999999994,33.849999999999994,0.45499999999999996,0.452,0.333,0.362,0.5145,3.5,3.5,0.623,0.6385000000000001,1.6,1.6,2.65,2.1,16.15,17.45,-0.44999999999999996,-1.0,13.85,14.0,0.529,0.5325,22.35,23.25,0.85,3.5999999999999996
40,Andrés Nocioni,5.75,67.5,23.6,25.425,0.33075,0.43875000000000003,0.2905,0.347,0.3475,2.85,2.375,0.7726666666666667,0.815,1.5999999999999999,1.525,2.575,2.675,10.975000000000001,10.4,-5.175,-0.5,6.025,12.975000000000001,0.41025,0.54175,21.275,20.55,0.30000000000000004,3.65
41,Anfernee Hardaway,8.0,68.0,35.45,41.9375,0.426125,0.46125,0.379,0.32425,0.4405,6.2625,4.425,0.747,0.774,3.0875,2.725,3.0625,2.2625,20.1375,16.45,5.45,2.9625,19.05,17.95,0.528125,0.537125,24.0375,22.2375,0.9625,7.175
42,Antawn Jamison,6.571428571428571,74.71428571428571,34.58571428571428,34.1,0.445,0.46071428571428574,0.33742857142857147,0.3632857142857143,0.48314285714285715,3.942857142857143,3.9714285714285715,0.7027142857142856,0.7247142857142858,1.4714285714285715,1.342857142857143,3.014285714285714,2.314285714285714,17.442857142857143,17.742857142857144,0.8857142857142859,0.7857142857142857,17.057142857142857,18.157142857142855,0.5262857142857144,0.5378571428571429,23.614285714285717,22.857142857142858,0.42857142857142855,6.957142857142856
46,Anthony Davis,9.75,60.25,34.8,37.05,0.5085,0.51575,0.20950000000000002,0.25325000000000003,0.5405,8.25,7.300000000000001,0.8454999999999999,0.80425,2.4,2.05,2.7,2.1,26.675,25.1,6.725,7.1,26.2,27.3,0.60075,0.5922499999999999,28.975,29.075,1.775,10.625
48,Anthony Mason,9.6,77.6,35.160000000000004,34.839999999999996,0.4923,0.5098,0.0,0.0555,0.49849999999999994,3.79,4.16,0.6959,0.7044,2.1,1.81,2.57,2.7600000000000002,9.72,11.290000000000001,-0.48,0.99,11.24,14.41,0.5504,0.5616000000000001,14.55,15.15,0.67,8.21
49,Anthony Parker,7.333333333333333,78.66666666666667,31.266666666666666,36.43333333333334,0.43199999999999994,0.4623333333333333,0.383,0.431,0.46599999999999997,3.5666666666666664,1.6333333333333335,0.7949999999999999,0.8133333333333334,1.0,1.0,2.3000000000000003,1.8666666666666665,11.633333333333333,10.733333333333334,0.20000000000000004,0.6666666666666666,11.733333333333334,12.933333333333332,0.5786666666666667,0.5843333333333333,14.233333333333334,15.033333333333331,0.4666666666666666,5.866666666666667
52,Antoine Walker,10.666666666666666,79.66666666666667,34.43333333333333,35.61666666666667,0.4013333333333333,0.4106666666666667,0.3388333333333333,0.3153333333333333,0.4195,2.4166666666666665,2.9499999999999997,0.6466666666666666,0.5858333333333333,2.4833333333333334,2.6333333333333333,3.25,2.6,15.166666666666666,16.0,0.6499999999999999,-0.2333333333333333,13.950000000000001,14.5,0.47983333333333333,0.48266666666666663,23.71666666666667,25.03333333333333,0.5166666666666667,2.9
57,Armen Gilliam,6.8,63.0,24.619999999999997,20.56,0.4316,0.47780000000000006,0.0,0.0,0.4344,3.04,3.5800000000000005,0.7694,0.7756000000000001,1.04,1.54,1.56,1.92,8.940000000000001,11.860000000000001,-1.64,-1.1199999999999999,13.84,15.919999999999998,0.49779999999999996,0.5356,22.02,21.96,0.13999999999999999,3.84
60,Artis Gilmore,8.25,76.25,28.6,28.825,0.57525,0.6035,,0.0,0.57525,4.725,5.65,0.614,0.67825,2.675,2.4,3.125,3.15,12.225,14.375,-1.475,0.125,11.975,16.75,0.60425,0.64175,15.95,18.05,0.375,7.375
61,Arvydas Sabonis,7.285714285714286,67.14285714285714,24.385714285714283,28.45714285714286,0.4731428571428572,0.4972857142857143,0.2986666666666667,0.3191428571428571,0.487,4.1571428571428575,3.585714285714286,0.8145714285714286,0.787,1.657142857142857,1.7857142857142858,3.6714285714285713,2.742857142857143,12.828571428571431,12.0,3.8000000000000003,4.3,19.485714285714288,21.0,0.546,0.5685714285714286,22.585714285714285,22.728571428571428,0.5428571428571428,6.728571428571429
65,Avery Bradley,7.8,64.4,29.68,31.74,0.4064,0.4478,0.2468,0.3654,0.5002000000000001,1.7600000000000002,1.3599999999999999,0.8603999999999999,0.7702,1.26,1.4,2.2600000000000002,2.2800000000000002,12.080000000000002,12.440000000000001,-1.52,-1.6600000000000001,9.98,11.84,0.48200000000000004,0.5218,19.259999999999998,19.880000000000003,0.06000000000000001,2.6399999999999997
68,Bam Adebayo,11.5,65.25,29.875,29.925,0.52025,0.549,0.0,0.09825,0.53,4.1,4.875,0.63225,0.741,1.95,2.25,2.65,2.475,12.875,15.15,-0.2250000000000003,2.925,14.925,20.125,0.53975,0.6005,18.925,21.45,1.175,7.175
69,Baron Davis,7.142857142857143,65.0,33.1,34.18571428571429,0.4438571428571429,0.412,0.31928571428571434,0.3102857142857142,0.5375714285714286,4.442857142857143,3.5285714285714285,0.7237142857142856,0.6694285714285714,2.557142857142857,2.742857142857143,3.4,2.7714285714285714,16.82857142857143,14.857142857142858,4.228571428571429,2.185714285714286,18.75714285714286,16.614285714285714,0.545,0.49642857142857144,23.82857142857143,23.285714285714285,0.9714285714285714,5.3999999999999995
70,Ben Gordon,7.25,81.5,31.25,37.3,0.4035,0.43574999999999997,0.3725,0.41575,0.41825,6.175,4.2,0.8180000000000001,0.8445,2.375,2.5,2.875,2.75,20.05,18.525,0.37500000000000006,1.175,14.65,16.15,0.5367500000000001,0.5505,25.6,27.75,0.55,5.85
71,Ben Simmons,11.333333333333334,72.66666666666667,33.43333333333334,35.166666666666664,0.5766666666666667,0.555,0.0,0.09999999999999999,0.5803333333333334,5.066666666666666,4.833333333333333,0.5413333333333333,0.5910000000000001,3.1333333333333333,3.3000000000000003,3.5,2.6999999999999997,14.033333333333333,15.666666666666666,3.3666666666666667,3.6666666666666665,17.566666666666666,19.433333333333334,0.5760000000000001,0.5743333333333333,18.400000000000002,21.53333333333333,1.2,7.8
74,Bernard King,6.5,61.5,27.525000000000002,28.025,0.55325,0.52875,0.1665,0.11324999999999999,0.5559999999999999,5.075,4.875,0.7886666666666667,0.73675,1.85,2.325,2.775,2.875,18.7,18.1,1.9499999999999997,1.425,17.425,18.425,0.593,0.57175,24.025,26.425,0.7999999999999999,5.8999999999999995
75,Bill Cartwright,13.555555555555555,70.88888888888889,25.933333333333334,27.37777777777778,0.48000000000000004,0.5016666666666666,,0.0,0.48000000000000004,3.177777777777778,3.7222222222222223,0.7156666666666667,0.7382222222222222,1.6888888888888889,1.7333333333333334,3.3666666666666667,2.7777777777777777,9.088888888888889,10.711111111111112,-2.1888888888888887,-1.5555555555555556,10.555555555555555,13.322222222222223,0.5365555555555556,0.5578888888888889,15.922222222222224,18.11111111111111,0.6111111111111112,4.677777777777778
77,Bill Laimbeer,12.555555555555555,81.66666666666667,33.47777777777778,33.611111111111114,0.4696666666666667,0.4947777777777778,0.33675,0.2787777777777778,0.48800000000000004,2.8333333333333335,2.8555555555555556,0.8413333333333334,0.8543333333333334,1.4222222222222223,1.5,3.788888888888889,3.3333333333333335,12.988888888888889,14.088888888888889,1.2444444444444445,1.7999999999999998,14.533333333333335,16.27777777777778,0.5295555555555556,0.5511111111111111,17.08888888888889,17.37777777777778,1.188888888888889,9.011111111111111
84,Blake Griffin,7.444444444444445,62.888888888888886,31.666666666666668,30.15555555555555,0.4567777777777777,0.49100000000000005,0.338,0.29011111111111115,0.43788888888888894,4.4,5.644444444444445,0.8194444444444444,0.7035555555555555,2.033333333333333,2.1888888888888887,3.033333333333333,2.7222222222222223,17.12222222222222,18.844444444444445,3.966666666666667,3.2555555555555555,19.51111111111111,20.533333333333335,0.5472222222222222,0.5578888888888889,25.5,25.955555555555556,0.7111111111111111,7.177777777777777
88,Bob Lanier,10.333333333333334,61.666666666666664,26.599999999999998,31.433333333333334,0.5219999999999999,0.5403333333333333,0.0,0.0,0.524,3.6333333333333333,3.5,0.682,0.7146666666666667,2.3333333333333335,2.1999999999999997,3.5666666666666664,3.1,14.133333333333333,12.6,3.3000000000000003,2.0,16.900000000000002,16.53333333333333,0.5496666666666666,0.5790000000000001,20.599999999999998,20.366666666666664,0.7666666666666667,5.2
94,Bobby Portis,12.666666666666666,67.33333333333333,21.53333333333333,21.099999999999998,0.4653333333333333,0.49666666666666665,0.36866666666666664,0.399,0.525,1.0333333333333334,1.2,0.7464999999999999,0.7176666666666667,0.9333333333333332,0.9,1.8333333333333333,1.8666666666666665,8.700000000000001,10.933333333333332,0.7000000000000001,0.06666666666666667,14.966666666666669,17.5,0.5526666666666666,0.5713333333333334,18.3,20.433333333333334,0.7000000000000001,4.233333333333333
96,Bojan Bogdanović,7.833333333333333,76.83333333333333,28.96666666666667,32.800000000000004,0.424,0.46049999999999996,0.3631666666666667,0.38766666666666666,0.47533333333333333,2.85,3.0500000000000003,0.785,0.8543333333333334,1.5666666666666667,1.5166666666666666,2.483333333333333,1.6166666666666665,14.266666666666666,15.016666666666666,-0.55,-0.7166666666666668,11.916666666666666,14.133333333333333,0.5533333333333333,0.592,19.916666666666668,21.25,0.31666666666666665,4.6499999999999995
97,Bonzi Wells,6.857142857142857,68.71428571428571,26.085714285714285,25.52857142857143,0.4517142857142857,0.45371428571428574,0.1875,0.31142857142857144,0.47671428571428576,3.857142857142857,3.1571428571428575,0.6228571428571429,0.7101428571428572,2.0142857142857142,2.042857142857143,2.757142857142857,2.6142857142857143,12.071428571428571,12.342857142857143,0.5285714285714286,0.07142857142857141,16.585714285714285,15.9,0.512,0.5108571428571429,24.74285714285714,24.87142857142857,0.15714285714285717,3.357142857142857
99,Brad Daugherty,8.2,68.4,36.56,38.28,0.4986,0.5336000000000001,0.0,0.1666,0.5006,7.3,6.92,0.7173999999999999,0.7458,2.42,2.7199999999999998,2.7600000000000002,2.58,17.96,19.22,2.52,2.2800000000000002,17.68,19.14,0.5626,0.5928,21.580000000000002,22.419999999999998,1.02,8.739999999999998
102,Brad Miller,6.25,70.375,30.3625,25.65,0.472625,0.486,0.2,0.29975,0.48875,3.1625,4.25,0.795,0.805875,1.7874999999999999,1.625,3.3625,2.8875,9.25,12.475,-1.2625000000000002,1.925,13.525,18.1875,0.546,0.5695,18.95,18.7,0.2875,7.3125
105,Bradley Beal,9.0,71.0,35.019999999999996,39.44,0.4418,0.4546,0.35059999999999997,0.38780000000000003,0.4842000000000001,5.220000000000001,4.36,0.8356,0.8152000000000001,2.66,2.3,2.4,2.16,24.119999999999997,21.880000000000003,2.8600000000000003,1.72,17.48,17.9,0.5484,0.5578,27.52,27.0,0.8400000000000001,5.8
107,Brandon Jennings,6.25,64.25,26.400000000000002,21.9,0.27375,0.376,0.16525,0.33375,0.4563333333333333,2.7,2.35,0.8512500000000001,0.8465,1.375,1.95,1.3,1.5999999999999999,9.2,11.325,-9.375,-1.0,6.175,13.85,0.43025,0.4855,25.7,22.05,0.1,2.95
