,season,player,pos_x,age_x,team_id_x,g-season,mp_per_g-season,fg_pct-season,fg3_pct-season,fg2_pct-season,fta_per_g-season,ft_pct-season,tov_per_g-season,pf_per_g-season,pts_per_g-season,bpm-season,per-season,ts_pct-season,usg_pct-season,ws-season,pos_y,age_y,team_id_y,g-playoffs,mp_per_g-playoffs,fg_pct-playoffs,fg3_pct-playoffs,fg2_pct-playoffs,fta_per_g-playoffs,ft_pct-playoffs,tov_per_g-playoffs,pf_per_g-playoffs,pts_per_g-playoffs,bpm-playoffs,per-playoffs,ts_pct-playoffs,usg_pct-playoffs,ws-playoffs
0,1982,Kareem Abdul-Jabbar,C,34,LAL,76,35.2,0.579,0.0,0.58,5.8,0.706,3.0,2.9,23.9,5.0,23.4,0.608,25.6,10.7,C,34,LAL,14,35.2,0.52,,0.52,6.2,0.632,2.9,3.2,20.4,4.4,20.1,0.55,23.9,1.5
1,1982,Alvan Adams,C,27,PHO,79,30.3,0.494,0.0,0.494,2.9,0.781,2.5,3.4,15.1,3.6,18.6,0.529,22.8,7.2,C,27,PHO,7,33.3,0.522,,0.522,4.0,0.786,3.0,3.1,16.9,2.3,18.9,0.566,21.1,0.5
2,1982,Danny Ainge,SG,22,BOS,53,10.6,0.357,0.294,0.363,1.2,0.862,1.0,1.6,4.1,-2.7,10.1,0.439,21.5,0.5,SG,22,BOS,10,12.9,0.422,0.5,0.415,1.3,0.769,1.1,2.1,5.0,-3.6,8.2,0.493,19.4,0.2
5,1982,Greg Ballard,SF,27,WSB,79,37.3,0.475,0.409,0.476,3.6,0.83,1.5,2.6,18.8,3.2,17.9,0.519,22.0,9.4,SF,27,WSB,7,38.3,0.36,,0.36,3.6,0.84,1.7,2.9,13.3,2.8,13.4,0.419,19.2,0.5
6,1982,Gene Banks,SF,22,SAS,80,21.3,0.477,0.0,0.483,2.7,0.684,1.3,2.5,9.6,-0.7,14.7,0.515,19.9,3.5,SF,22,SAS,9,16.2,0.462,0.0,0.469,1.1,0.4,0.7,1.3,7.1,0.4,15.2,0.461,20.3,0.2
7,1982,Mike Bantom,SF,30,TOT,82,24.6,0.469,0.333,0.47,3.3,0.629,1.8,3.3,10.2,-2.3,12.7,0.505,20.2,2.9,SF,30,PHI,21,19.0,0.396,,0.396,2.0,0.452,1.1,2.9,4.3,-2.6,7.4,0.416,14.0,0.1
8,1982,Larry Bird,PF,25,BOS,77,38.0,0.503,0.212,0.514,4.9,0.863,3.3,3.2,22.9,6.6,22.6,0.557,25.2,12.5,PF,25,BOS,12,40.8,0.427,0.167,0.435,3.8,0.822,3.2,3.6,17.8,5.4,17.9,0.474,21.9,1.6
10,1982,Dudley Bradley,SG,24,PHO,64,14.6,0.445,0.25,0.448,1.6,0.74,1.1,1.8,5.1,-1.1,10.9,0.5,17.4,1.4,SG,24,PHO,7,3.4,0.25,,0.25,0.1,1.0,0.7,0.4,0.7,-12.8,-0.9,0.296,22.0,-0.1
14,1982,M.L. Carr,SF,31,BOS,56,23.1,0.45,0.294,0.457,2.1,0.707,1.1,2.4,8.1,0.5,11.9,0.495,16.2,2.8,SF,31,BOS,12,25.4,0.352,0.0,0.366,1.9,0.652,1.8,2.5,7.4,-3.0,7.2,0.387,18.1,0.1
15,1982,Harvey Catchings,PF,30,MIL,80,20.0,0.42,,0.42,0.9,0.594,1.2,3.0,2.9,-0.4,8.1,0.45,8.9,2.3,PF,30,MIL,6,4.3,0.667,,0.667,0.0,,0.5,1.5,0.7,-8.0,4.0,0.667,9.8,0.0
