,Year,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,ORB,PF,PTS,STL,TOV,TRB
4,1982,45.6,0.522,87.4,0.35,0.2165,1.4,28.15,6.949999999999999,29.8,45.95,0.5175000000000001,88.75,20.7,0.732,28.25,13.95,25.5,112.9,10.350000000000001,17.95,43.8
14,1983,45.900000000000006,0.518,88.5,0.2,0.16649999999999995,1.25,27.65,6.4,30.7,46.099999999999994,0.5135000000000001,89.8,21.1,0.739,28.549999999999997,15.7,24.2,113.55,10.100000000000001,19.55,46.3
29,1984,44.849999999999994,0.524,85.55000000000001,0.7,0.2485,2.8,27.9,5.5,30.75,45.55,0.516,88.30000000000001,22.1,0.773,28.549999999999997,13.75,24.4,113.85,8.55,18.25,44.45
45,1985,45.55,0.535,85.25,1.2000000000000002,0.3305,3.7,29.65,5.45,31.6,46.8,0.5265,88.9,21.75,0.7845,27.65,13.3,22.6,116.5,8.2,17.45,44.900000000000006
59,1986,44.25,0.508,87.1,1.35,0.31249999999999994,4.3,28.700000000000003,6.45,31.65,45.55,0.499,91.35,21.75,0.762,28.549999999999997,14.45,22.85,114.25,8.45,16.700000000000003,46.05
77,1987,42.75,0.528,81.0,2.25,0.36650000000000005,6.2,29.55,6.15,31.1,45.05,0.5165,87.2,22.85,0.7985,28.700000000000003,12.55,21.75,115.19999999999999,7.85,16.25,43.65
91,1988,41.7,0.5095000000000001,81.8,1.2,0.292,4.15,26.55,4.85,30.35,42.900000000000006,0.499,85.94999999999999,24.0,0.773,31.049999999999997,13.75,22.4,111.0,7.699999999999999,16.25,44.1
106,1989,40.4,0.5115000000000001,79.0,2.15,0.32,6.5,26.25,5.05,31.45,42.55,0.498,85.5,23.4,0.7855000000000001,29.8,13.7,22.0,110.65,7.6000000000000005,16.35,45.150000000000006
127,1990,39.85,0.487,81.8,2.25,0.3315,6.75,24.85,4.75,30.55,42.1,0.4755,88.55,22.85,0.752,30.4,15.5,24.45,109.25,7.65,15.75,46.0
137,1991,40.2,0.512,78.45,2.3499999999999996,0.33499999999999996,7.15,26.25,5.0,29.200000000000003,42.55,0.497,85.6,20.8,0.7789999999999999,26.65,13.55,20.0,108.15,8.9,14.55,42.75
158,1992,40.55,0.5070000000000001,80.0,2.85,0.32399999999999995,8.5,26.5,5.45,30.4,43.4,0.4905,88.55000000000001,21.049999999999997,0.7490000000000001,28.0,15.05,22.4,110.65,8.7,14.75,45.45
173,1993,38.599999999999994,0.505,76.4,3.95,0.364,10.8,25.75,5.25,29.200000000000003,42.5,0.4875,87.2,20.4,0.743,27.4,14.8,21.6,109.30000000000001,9.35,15.05,44.05
183,1994,33.849999999999994,0.4925,68.75,4.55,0.34099999999999997,13.399999999999999,25.35,5.300000000000001,31.45,38.4,0.4675,82.1,18.5,0.7444999999999999,24.85,12.8,22.25,99.8,8.95,16.450000000000003,44.25
200,1995,33.2,0.528,62.85,7.15,0.369,19.299999999999997,26.450000000000003,6.15,29.9,40.35,0.491,82.15,19.35,0.7090000000000001,27.5,12.35,20.95,107.2,8.5,15.950000000000001,42.25
