,Year,Team,FG%-Playoffs,2P%-Playoffs,3P%-Playoffs,FT%-Playoffs,FG-Playoffs,FGA-Playoffs,2P-Playoffs,2PA-Playoffs,3P-Playoffs,3PA-Playoffs,FT-Playoffs,FTA-Playoffs,ORB-Playoffs,DRB-Playoffs,TRB-Playoffs,AST-Playoffs,STL-Playoffs,BLK-Playoffs,TOV-Playoffs,PF-Playoffs,PTS-Playoffs,FG%-Season,2P%-Season,3P%-Season,FT%-Season,FG-Season,FGA-Season,2P-Season,2PA-Season,3P-Season,3PA-Season,FT-Season,FTA-Season,ORB-Season,DRB-Season,TRB-Season,AST-Season,STL-Season,BLK-Season,TOV-Season,PF-Season,PTS-Season
0,1982,ATL,0.4125,0.4230769230769231,0.0,0.75,33.0,80.0,33.0,78.0,0.0,2.0,24.0,32.0,15.0,23.5,38.5,16.5,5.0,6.0,19.5,31.0,90.0,0.474,0.479,0.2189999999999999,0.768,39.1,82.6,38.8,81.1,0.3,1.6,22.4,29.1,13.8,28.9,42.7,22.1,7.4,5.9,16.4,27.7,101.0
1,1982,BOS,0.46170212765957447,0.4704595185995623,0.2,0.7361963190184049,43.4,94.0,43.0,91.4,0.5,2.5,24.0,32.6,18.5,33.7,52.1,25.8,7.699999999999999,9.8,19.5,28.7,110.8,0.499,0.505,0.266,0.74,44.6,89.4,44.0,87.2,0.6,2.2,22.2,30.0,15.3,30.4,45.6,25.9,8.0,6.9,17.7,24.6,112.0
2,1982,DEN,0.49638802889576883,0.5074309978768577,0.11538461538461538,0.8297101449275361,48.1,96.9,47.8,94.2,0.3,2.6,22.9,27.6,14.0,26.1,40.0,24.7,8.7,4.2,14.7,26.0,119.3,0.52,0.525,0.268,0.7959999999999999,48.5,93.4,48.0,91.5,0.5,1.8,28.9,36.3,14.0,29.8,43.8,27.7,8.1,4.5,17.9,26.0,126.5
3,1982,HOU,0.39717083786724705,0.41383219954648526,0.0,0.7655502392344498,36.5,91.89999999999999,36.5,88.2,0.0,3.6,16.0,20.9,19.0,27.900000000000002,46.9,19.7,5.3999999999999995,5.699999999999999,9.4,22.6,88.7,0.476,0.48,0.284,0.7290000000000001,42.7,89.8,42.1,87.7,0.6,2.1,19.8,27.1,17.1,27.9,45.0,24.1,7.9,5.2,16.1,22.8,105.9
4,1982,LAL,0.5099268547544409,0.5169851380042463,0.15384615384615385,0.7176870748299321,48.8,95.7,48.7,94.2,0.2,1.3,21.1,29.4,17.9,32.3,50.2,32.9,10.7,7.7,18.7,26.0,119.3,0.517,0.521,0.138,0.7170000000000001,47.8,92.5,47.6,91.4,0.2,1.1,18.9,26.4,15.3,30.5,45.9,28.7,10.3,6.3,17.9,24.4,114.6
5,1982,MIL,0.4726840855106888,0.4788557213930348,0.30952380952380953,0.7172011661807581,39.8,84.2,38.5,80.4,1.3,4.2,24.6,34.3,16.5,22.6,39.1,25.3,7.4,5.6,16.6,29.0,105.5,0.505,0.51,0.299,0.753,43.2,85.5,42.6,83.5,0.6,2.0,21.4,28.4,14.2,29.5,43.7,27.2,9.3,5.5,19.4,27.8,108.4
6,1982,BRK,0.4293785310734463,0.44047619047619047,0.2222222222222222,0.6046511627906976,38.0,88.5,37.0,84.0,1.0,4.5,13.0,21.5,13.0,28.0,41.0,19.5,9.5,4.5,16.0,27.0,90.0,0.484,0.49,0.205,0.728,42.7,88.1,42.3,86.4,0.4,1.8,20.9,28.7,14.6,28.3,42.9,25.6,11.2,5.9,20.1,28.0,106.7
7,1982,PHI,0.48349307774227906,0.48751357220412594,0.22222222222222224,0.7371794871794871,45.4,93.89999999999999,44.9,92.1,0.4,1.8,23.0,31.200000000000003,15.0,28.7,43.7,29.5,9.3,7.6,18.400000000000002,29.299999999999997,114.6,0.518,0.523,0.295,0.747,44.1,85.0,43.6,83.4,0.5,1.7,22.5,30.1,12.6,29.1,41.7,27.6,10.4,7.6,18.0,26.6,111.2
8,1982,PHO,0.4900938477580814,0.5005393743257821,0.2333333333333333,0.7400881057268723,47.0,95.89999999999999,46.4,92.7,0.7,3.0,16.8,22.7,15.9,26.9,42.7,28.8,10.6,6.6,17.2,24.5,111.3,0.491,0.496,0.31,0.758,42.8,87.1,42.1,85.0,0.7,2.1,19.9,26.3,13.7,30.7,44.4,27.1,9.2,5.2,18.6,24.7,106.2
9,1982,SAS,0.45645330535152145,0.4673202614379085,0.17142857142857143,0.7310344827586207,43.5,95.30000000000001,42.9,91.8,0.6,3.5,21.2,29.0,17.0,31.5,48.7,30.0,7.9,4.8999999999999995,16.2,27.2,109.0,0.486,0.494,0.254,0.7759999999999999,45.1,92.8,44.3,89.8,0.8,3.1,22.1,28.5,15.3,30.9,46.2,27.5,7.3,6.8,15.8,27.0,113.1
