,season,team_id,efg_pct,ts_pct,fg_pct,fg2_pct,fg3_pct,ft_pct,fg_per_g,fga_per_g,fg2_per_g,fg2a_per_g,fg3_per_g,fg3a_per_g,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,bpm
0,1982,ATL,0.4706923076923077,0.5185384615384615,0.47595682041216875,0.4810379241516966,0.25,0.7681564245810056,48.5,101.9,48.2,100.2,0.4,1.6,27.5,35.8,16.7,35.4,52.2,27.8,9.1,7.0,19.7,34.8,124.5,-5.800000000000001
1,1982,BOS,0.4727692307692308,0.5150769230769231,0.49259624876604147,0.4989858012170386,0.2916666666666667,0.7440476190476191,49.9,101.3,49.2,98.6,0.7,2.4,25.0,33.6,16.7,33.1,49.800000000000004,30.0,9.3,7.3999999999999995,19.5,27.7,125.3,-3.900000000000001
2,1982,CHI,0.4481538461538462,0.524,0.4895718990120747,0.4977272727272727,0.24137931034482754,0.7687861271676301,44.6,91.1,43.8,88.0,0.7,2.9000000000000004,26.6,34.6,15.8,33.1,48.8,27.5,8.7,6.300000000000001,22.0,27.5,116.6,-17.6
3,1982,CLE,0.4385833333333333,0.4675833333333333,0.45510455104551045,0.46017699115044247,0.16,0.7099567099567099,37.0,81.3,36.4,79.1,0.4,2.5,16.4,23.1,11.9,21.2,32.8,26.099999999999998,8.2,3.4,16.8,27.1,90.6,-38.3
4,1982,DAL,0.45530769230769236,0.5023846153846153,0.4633911368015414,0.46726190476190477,0.26666666666666666,0.723529411764706,48.1,103.8,47.1,100.8,0.8,3.0,24.6,34.0,17.5,32.2,50.0,29.2,7.9,4.8,18.6,31.9,121.4,-23.6
5,1982,DEN,0.50275,0.5576666666666666,0.5101663585951941,0.5175355450236967,0.30769230769230765,0.7958236658932716,55.2,108.2,54.6,105.5,0.7999999999999999,2.6,34.300000000000004,43.1,15.8,35.0,50.699999999999996,32.5,9.0,5.3,20.3,30.4,146.2,-11.3
6,1982,DET,0.42463636363636365,0.4659090909090909,0.4730046948356807,0.48121212121212115,0.2,0.75177304964539,40.3,85.2,39.699999999999996,82.5,0.5,2.5,21.2,28.2,13.0,23.1,35.9,24.5,9.1,6.5,18.6,25.5,102.2,-12.1
7,1982,GSW,0.49876923076923074,0.5322307692307693,0.49504950495049505,0.5046632124352332,0.26086956521739135,0.7116564417177914,50.0,101.0,48.7,96.5,1.2000000000000002,4.6,23.2,32.6,18.6,34.7,52.800000000000004,24.8,9.5,5.8,19.5,31.7,124.6,-5.499999999999999
8,1982,HOU,0.47523076923076923,0.5023076923076923,0.478176527643065,0.48310139165009947,0.2692307692307692,0.7200000000000001,49.3,103.1,48.6,100.6,0.7,2.6,21.6,30.0,19.1,32.0,51.2,28.0,9.2,6.0,18.4,28.6,120.5,-19.4
9,1982,IND,0.4533333333333333,0.49574999999999997,0.46111111111111114,0.46893317702227433,0.3023255813953489,0.7326007326007326,41.5,90.0,40.0,85.3,1.3,4.3,20.0,27.3,13.8,30.1,43.800000000000004,24.6,9.6,5.9,17.0,26.2,104.4,-14.0
10,1982,KCK,0.48736363636363633,0.5195454545454545,0.4940397350993377,0.49932705248990583,0.16666666666666669,0.7142857142857143,37.3,75.5,37.1,74.3,0.2,1.2,17.0,23.8,13.4,27.4,40.6,24.7,8.6,4.7,17.4,30.099999999999998,91.4,-15.8
11,1982,LAL,0.49114285714285716,0.5182857142857143,0.5143353605560382,0.5202464788732395,0.07692307692307693,0.6920821114369502,59.2,115.10000000000001,59.1,113.6,0.1,1.3,23.6,34.1,20.7,39.2,59.6,33.3,12.600000000000001,8.1,22.5,33.1,142.5,-15.099999999999998
12,1982,MIL,0.4794,0.5146666666666667,0.49572649572649574,0.5,0.30303030303030304,0.75,58.0,117.0,56.8,113.6,1.0,3.3,26.700000000000003,35.6,17.4,36.5,53.7,36.5,11.9,6.5,25.0,37.1,143.5,-6.400000000000001
13,1982,NJN,0.4818181818181818,0.5290909090909092,0.4831338411316648,0.4905450500556173,0.15000000000000002,0.732638888888889,44.4,91.9,44.1,89.9,0.30000000000000004,2.0,21.1,28.8,14.8,27.2,42.1,26.7,11.100000000000001,4.9,20.1,27.6,110.3,-3.5999999999999996
14,1982,NYK,0.4704666666666667,0.5068666666666667,0.48537477148080443,0.4929444967074318,0.24137931034482757,0.7361963190184049,53.1,109.39999999999999,52.4,106.3,0.7,2.9,24.0,32.6,17.400000000000002,32.1,49.900000000000006,32.0,11.200000000000001,5.3,22.6,35.2,131.1,-26.5
15,1982,PHI,0.5085000000000001,0.5505833333333333,0.5191675794085433,0.5245535714285715,0.22222222222222224,0.753125,47.4,91.3,47.0,89.6,0.4,1.8,24.1,32.0,12.9,31.400000000000002,44.3,29.3,11.4,7.800000000000001,19.0,29.0,119.4,1.9999999999999998
16,1982,PHO,0.499,0.5396923076923077,0.4928571428571428,0.49842931937172774,0.36363636363636365,0.7551020408163266,48.3,98.0,47.6,95.5,0.8,2.2,22.2,29.4,14.9,33.699999999999996,48.4,29.9,10.2,5.7,20.400000000000002,27.7,119.5,-3.0
17,1982,POR,0.5184666666666666,0.5578666666666667,0.5088062622309197,0.5119284294234592,0.23529411764705885,0.7060518731988472,52.0,102.2,51.5,100.60000000000001,0.4,1.7,24.5,34.7,18.6,37.0,55.5,29.5,10.0,6.1,22.5,35.9,128.5,-22.7
18,1982,SAS,0.4809,0.5254000000000001,0.4796954314720812,0.4875164257555848,0.25,0.7601476014760149,37.8,78.8,37.1,76.1,0.7,2.8,20.6,27.099999999999998,14.7,29.7,44.3,28.3,7.5,6.6000000000000005,15.200000000000001,25.9,96.89999999999999,-1.4999999999999998
19,1982,SDC,0.5105000000000001,0.5213333333333333,0.5092592592592592,0.5186972255729795,0.31428571428571433,0.6592356687898089,44.0,86.4,43.0,82.9,1.1,3.5,20.7,31.4,16.7,33.4,50.0,23.5,7.8,4.0,19.099999999999998,32.4,110.5,-22.0
20,1982,SEA,0.5065999999999999,0.5463,0.4935672514619883,0.4976133651551313,0.22222222222222224,0.7429577464788734,42.2,85.5,41.7,83.8,0.4,1.8,21.1,28.4,12.2,29.6,42.1,26.4,8.3,5.3,16.2,23.9,105.4,1.5999999999999992
21,1982,TOT,0.4612142857142857,0.5028928571428571,0.46901338621715416,0.47750511247443767,0.22807017543859648,0.7229508196721312,94.6,201.7,93.4,195.6,1.3,5.7,44.1,61.0,32.8,61.1,93.9,42.2,17.2,11.2,37.9,65.5,234.7,-62.2
22,1982,UTA,0.4715384615384615,0.5079230769230769,0.49074074074074076,0.49373695198329853,0.18181818181818185,0.752542372881356,47.7,97.2,47.3,95.8,0.2,1.0999999999999999,22.2,29.5,15.0,30.5,45.4,24.3,9.1,4.5,18.6,29.5,117.7,-35.7
23,1982,WSB,0.46175000000000005,0.5093333333333333,0.47301587301587306,0.4786418400876233,0.21874999999999997,0.776173285198556,44.7,94.5,43.7,91.3,0.7,3.2,21.5,27.7,14.3,34.4,48.7,26.4,8.5,5.3,18.5,28.9,111.6,-6.3
24,1983,ATL,0.45972727272727276,0.5048181818181818,0.4652173913043478,0.46986607142857145,0.24000000000000005,0.7545126353790613,42.8,92.0,42.1,89.6,0.6000000000000001,2.5,20.9,27.7,14.4,29.8,44.1,25.5,7.0,9.3,17.6,25.5,106.9,-6.6
25,1983,BOS,0.4753636363636364,0.5161818181818182,0.49221183800623053,0.49840255591054305,0.20833333333333334,0.7299035369774919,47.4,96.3,46.8,93.9,0.5,2.4,22.7,31.1,16.2,32.5,48.8,29.3,10.2,6.6,19.9,26.3,117.5,0.7000000000000002
26,1983,CHI,0.47284615384615386,0.5200769230769231,0.47890088321884194,0.48837209302325574,0.21874999999999997,0.7306666666666666,48.8,101.9,48.3,98.9,0.7,3.2,27.4,37.5,17.1,34.3,51.6,29.1,9.3,5.800000000000001,23.6,30.9,125.8,-17.7
27,1983,CLE,0.442,0.4789,0.4623655913978495,0.4665629860031104,0.1,0.6939890710382512,30.099999999999998,65.1,30.0,64.3,0.1,1.0,12.7,18.3,11.700000000000001,26.2,37.8,18.9,6.5,2.5,15.5,23.6,72.7,-24.6
28,1983,DAL,0.4672307692307692,0.5126923076923077,0.4797297297297297,0.48664688427299707,0.1923076923076923,0.7514792899408285,49.7,103.60000000000001,49.2,101.1,0.5,2.6,25.4,33.8,18.7,33.6,52.3,31.9,8.1,4.9,18.5,29.6,125.8,-11.4
29,1983,DEN,0.47150000000000003,0.5267499999999999,0.4956521739130435,0.5004906771344456,0.20000000000000004,0.8039772727272727,51.300000000000004,103.5,51.0,101.89999999999999,0.30000000000000004,1.5,28.3,35.2,14.1,31.0,45.2,31.2,10.2,4.0,19.9,27.1,130.8,-16.9
30,1983,DET,0.4497333333333334,0.4908666666666666,0.4658599827139153,0.4744852282900627,0.18918918918918917,0.7557251908396947,53.9,115.69999999999999,53.0,111.7,0.7,3.7,29.7,39.3,20.6,38.0,58.5,31.0,10.0,7.4,23.2,35.0,138.7,-32.2
31,1983,GSW,0.48372727272727273,0.5096363636363637,0.49580838323353293,0.5055487053020962,0.16666666666666669,0.7246376811594203,41.4,83.5,41.0,81.10000000000001,0.4,2.4,15.0,20.7,15.3,27.7,43.0,22.5,8.7,5.0,18.2,25.7,98.0,-22.0
32,1983,HOU,0.45941666666666664,0.49058333333333337,0.4450373532550694,0.45434298440979953,0.22857142857142856,0.7387387387387387,41.7,93.7,40.8,89.8,0.8,3.5000000000000004,16.4,22.2,15.0,27.1,42.2,26.4,8.6,6.5,20.2,27.5,100.8,-33.2
33,1983,IND,0.4514545454545455,0.48554545454545456,0.4726688102893891,0.48115299334811534,0.16666666666666666,0.752212389380531,44.1,93.3,43.400000000000006,90.2,0.5,3.0,17.0,22.599999999999998,15.2,27.1,42.4,26.3,9.0,4.300000000000001,18.1,24.9,105.9,-21.5
34,1983,KCK,0.508,0.5340769230769231,0.4963350785340314,0.502155172413793,0.22222222222222224,0.7242424242424242,47.4,95.5,46.6,92.80000000000001,0.6000000000000001,2.7,23.9,33.0,17.0,32.3,49.1,28.5,10.5,5.5,21.8,33.7,118.9,-6.8
35,1983,LAL,0.4920833333333334,0.524,0.5191570881226054,0.5257531584062196,0.11764705882352942,0.7266187050359711,54.2,104.4,54.1,102.9,0.2,1.7,20.2,27.8,17.3,32.8,50.4,33.8,11.8,6.5,21.6,27.3,129.20000000000002,-8.299999999999999
36,1983,MIL,0.48700000000000004,0.5339090909090909,0.4878048780487805,0.49564270152505446,0.24000000000000005,0.7475728155339806,46.0,94.3,45.5,91.8,0.6000000000000001,2.5,23.1,30.900000000000002,15.1,33.9,49.0,27.7,9.2,7.0,18.5,27.5,115.6,7.5
37,1983,NJN,0.4799090909090909,0.5253636363636364,0.5036674816625918,0.5068322981366459,0.15384615384615385,0.688212927756654,41.2,81.8,40.8,80.5,0.2,1.3,18.1,26.3,15.0,28.8,43.6,23.4,10.3,7.2,20.8,24.9,100.7,-2.4
38,1983,NYK,0.46399999999999997,0.5069166666666667,0.47923681257014594,0.48512585812356984,0.23529411764705885,0.7114754098360655,42.7,89.1,42.4,87.39999999999999,0.4,1.7,21.7,30.5,14.299999999999999,29.4,43.7,26.1,9.2,5.1000000000000005,19.1,28.3,107.7,0.3999999999999999
39,1983,PHI,0.48840000000000006,0.5281,0.5,0.5046620046620047,0.23076923076923075,0.7455089820359281,43.5,87.0,43.300000000000004,85.8,0.3,1.3,24.9,33.4,15.899999999999999,30.7,46.2,25.0,10.0,6.9,19.6,23.3,112.1,4.599999999999999
40,1983,PHO,0.4876666666666667,0.5307499999999999,0.4972253052164262,0.5028376844494892,0.2777777777777778,0.7446808510638298,44.800000000000004,90.10000000000001,44.3,88.1,0.5,1.8,21.0,28.2,13.8,31.3,45.3,28.599999999999998,9.5,6.2,19.4,26.3,111.0,-3.3
41,1983,POR,0.4676923076923077,0.5116153846153846,0.4805194805194805,0.48515864892528143,0.22222222222222224,0.7342857142857143,48.1,100.10000000000001,47.4,97.7,0.6000000000000001,2.7,25.7,35.0,16.0,32.4,48.5,30.599999999999998,11.4,5.1,20.9,29.1,122.8,-7.9
42,1983,SAS,0.4587692307692308,0.4977692307692308,0.49638802889576883,0.5059076262083781,0.275,0.7515337423312883,48.1,96.9,47.1,93.1,1.1,4.0,24.5,32.6,16.9,34.6,51.5,30.6,9.2,6.0,19.7,28.9,122.1,-12.1
43,1983,SDC,0.4436666666666667,0.48693333333333333,0.4680672268907563,0.4738219895287958,0.3181818181818181,0.7270029673590503,55.7,119.0,54.3,114.6,1.4,4.4,24.5,33.7,22.1,36.6,58.699999999999996,31.400000000000002,12.4,7.7,24.9,36.0,136.8,-28.6
44,1983,SEA,0.5062727272727273,0.5464545454545454,0.4950055493895672,0.5005649717514123,0.18750000000000003,0.7333333333333334,44.6,90.1,44.3,88.5,0.30000000000000004,1.6,23.1,31.5,13.8,30.4,44.300000000000004,28.5,8.399999999999999,5.2,18.7,23.3,112.30000000000001,-0.39999999999999947
45,1983,TOT,0.45266666666666666,0.4939166666666666,0.45862676056338025,0.465105808194507,0.2,0.7180925666199159,104.2,227.20000000000002,103.3,222.1,1.0,5.0,51.2,71.3,43.5,81.8,125.1,55.3,22.2,14.4,51.2,84.4,260.3,-83.8
46,1983,UTA,0.4725454545454545,0.5193636363636364,0.48666053357865685,0.4952651515151516,0.2142857142857143,0.7723785166240409,52.9,108.7,52.300000000000004,105.6,0.6,2.8,30.2,39.1,13.2,29.6,42.800000000000004,29.900000000000002,9.6,6.3,22.7,26.2,136.8,-18.1
47,1983,WSB,0.46270588235294113,0.4876470588235295,0.45939294503691547,0.46592844974446335,0.3111111111111111,0.7073863636363635,56.0,121.9,54.699999999999996,117.39999999999999,1.4,4.5,24.9,35.2,18.5,39.4,57.8,39.5,12.5,6.4,29.2,38.7,137.79999999999998,-22.4
48,1984,ATL,0.4517333333333333,0.5044,0.45578231292517,0.4588701684836472,0.15000000000000002,0.7506631299734747,46.9,102.9,46.3,100.89999999999999,0.30000000000000004,2.0,28.3,37.7,17.1,35.4,52.6,27.5,10.0,7.7,20.5,33.9,122.5,-27.4
49,1984,BOS,0.47425,0.5196666666666666,0.49578947368421056,0.5054466230936819,0.25806451612903225,0.7813504823151126,47.1,95.0,46.4,91.8,0.8,3.1,24.3,31.099999999999998,15.2,33.0,48.3,27.7,9.0,5.5,18.6,26.1,119.3,-6.200000000000001
50,1984,CHI,0.46199999999999997,0.5101818181818182,0.4693422519509476,0.47565118912797283,0.07692307692307693,0.7380191693290735,42.1,89.7,42.0,88.3,0.1,1.3,23.1,31.3,15.0,30.1,45.1,26.6,8.8,6.0,20.1,28.5,107.8,-20.0
51,1984,CLE,0.4451538461538461,0.49338461538461537,0.4595959595959596,0.4679089026915114,0.23809523809523808,0.7425742574257426,45.5,99.0,45.2,96.6,0.5,2.1,22.5,30.3,17.3,33.0,50.3,26.4,8.6,5.2,18.1,30.6,114.2,-18.1
52,1984,DAL,0.46975000000000006,0.5146666666666667,0.4948559670781893,0.5021141649048625,0.24000000000000005,0.7500000000000001,48.1,97.2,47.5,94.60000000000001,0.6000000000000001,2.5,24.6,32.8,15.3,30.2,45.6,28.7,8.6,4.9,17.7,26.8,121.39999999999999,-13.5
53,1984,DEN,0.46375000000000005,0.5194166666666666,0.48824082784571965,0.49173955296404276,0.2941176470588235,0.8184438040345821,51.9,106.3,50.6,102.9,1.0,3.4000000000000004,28.4,34.7,15.6,32.7,48.5,32.7,9.6,4.7,17.8,31.4,133.2,-20.3
54,1984,DET,0.46728571428571425,0.5067142857142858,0.47523809523809524,0.48007774538386777,0.22222222222222218,0.7694610778443114,49.9,105.0,49.4,102.9,0.39999999999999997,1.8000000000000003,25.7,33.4,18.9,32.1,50.8,30.599999999999998,9.4,5.3,17.8,30.9,125.9,-13.9
55,1984,GSW,0.4676666666666667,0.506,0.46849593495934966,0.4738493723849373,0.27586206896551724,0.7374631268436579,46.1,98.39999999999999,45.300000000000004,95.6,0.8,2.9,25.0,33.9,18.5,28.9,47.6,23.8,10.8,4.5,19.599999999999998,28.8,117.7,-20.2
56,1984,HOU,0.4863846153846154,0.5204615384615384,0.49023437500000006,0.49651741293532337,0.1,0.7408759124087592,50.2,102.39999999999999,49.9,100.5,0.2,2.0,20.3,27.4,16.2,32.9,49.2,29.3,8.6,6.5,20.2,32.1,121.4,-18.9
57,1984,IND,0.46215384615384614,0.5268461538461539,0.47914547304170907,0.48532494758909855,0.1724137931034483,0.7845659163987138,47.1,98.3,46.300000000000004,95.4,0.5,2.9,24.4,31.1,13.9,32.0,45.8,29.1,11.4,5.6000000000000005,20.9,29.2,118.8,-18.0
58,1984,KCK,0.49827272727272726,0.5490909090909091,0.4891428571428571,0.4929742388758782,0.23809523809523808,0.7889273356401385,42.8,87.5,42.1,85.4,0.5,2.1,22.8,28.9,13.799999999999999,27.4,41.3,26.4,9.2,4.2,17.1,25.8,109.0,-2.6999999999999997
59,1984,LAL,0.5224615384615384,0.5623846153846154,0.5265748031496064,0.5370558375634518,0.2258064516129032,0.7476923076923078,53.5,101.6,52.9,98.5,0.7,3.1,24.3,32.5,16.1,36.7,52.8,34.5,10.2,6.5,22.5,30.2,132.5,-13.100000000000001
60,1984,MIL,0.4935,0.5320833333333334,0.4973821989528796,0.5055187637969095,0.3404255319148936,0.7438271604938272,47.5,95.5,45.8,90.6,1.6,4.7,24.1,32.4,15.3,32.1,47.3,29.9,8.7,6.6,19.5,31.1,120.6,-1.6
61,1984,NJN,0.4878461538461538,0.5270769230769231,0.494047619047619,0.5067079463364293,0.21621621621621623,0.7035928143712575,49.8,100.8,49.1,96.9,0.8,3.7,23.5,33.4,16.6,30.7,47.2,31.400000000000002,11.5,6.6000000000000005,22.2,31.2,123.8,-5.5
62,1984,NYK,0.48023076923076924,0.5320769230769231,0.49372384937238495,0.5005359056806002,0.2173913043478261,0.7727272727272726,47.2,95.60000000000001,46.7,93.3,0.5,2.3,27.2,35.2,15.8,32.1,47.8,27.4,11.0,5.0,21.9,33.5,122.1,-1.1999999999999993
63,1984,PHI,0.43091666666666667,0.4888333333333333,0.4864559819413093,0.49024110218140077,0.26666666666666666,0.7061855670103094,43.1,88.6,42.7,87.1,0.4,1.5,27.400000000000002,38.8,14.6,29.5,44.3,26.6,10.1,7.3,20.4,26.2,114.3,-14.600000000000001
64,1984,PHO,0.49753846153846154,0.5394615384615384,0.5061855670103093,0.5160944206008584,0.2564102564102564,0.7549668874172186,49.1,97.0,48.1,93.2,1.0,3.9000000000000004,22.8,30.2,14.7,32.0,46.7,31.0,10.0,5.3,20.3,31.2,122.3,-9.0
65,1984,POR,0.4965,0.5459999999999999,0.5069817400644469,0.513129102844639,0.13333333333333333,0.7588235294117647,47.2,93.10000000000001,46.9,91.39999999999999,0.2,1.5,25.8,34.0,16.2,28.2,44.6,27.0,10.5,5.4,19.0,28.2,120.1,-4.1
66,1984,SAS,0.5673125,0.5759375,0.5136921624173748,0.5231071779744346,0.3,0.739010989010989,54.4,105.9,53.2,101.7,1.2,4.0,26.9,36.4,18.9,39.2,57.7,38.2,9.6,8.1,22.4,38.3,136.6,-27.1
67,1984,SDC,0.45815384615384613,0.5046923076923077,0.49368318756073853,0.4990118577075099,0.11764705882352942,0.721264367816092,50.8,102.9,50.5,101.2,0.2,1.7,25.1,34.8,19.1,34.6,53.7,26.8,8.200000000000001,5.5,21.6,28.900000000000002,126.8,-21.9
68,1984,SEA,0.4811428571428572,0.5323571428571429,0.48897795591182364,0.49336057201225736,0.15789473684210528,0.7793296089385475,48.8,99.8,48.3,97.9,0.30000000000000004,1.9,27.9,35.8,14.6,31.900000000000002,46.5,30.4,8.8,5.3,19.5,27.7,125.7,-17.599999999999998
69,1984,TOT,0.4315333333333333,0.47159999999999996,0.44125683060109283,0.45221112696148363,0.25,0.7000000000000001,32.3,73.2,31.7,70.1,0.8,3.2,16.1,23.0,9.6,18.4,27.9,25.299999999999997,8.200000000000001,4.6,16.900000000000002,25.0,81.6,-42.4
70,1984,UTA,0.4896666666666667,0.5341666666666667,0.4973031283710896,0.5050732807215332,0.30000000000000004,0.7832369942196532,46.1,92.69999999999999,44.8,88.7,1.2000000000000002,4.0,27.1,34.6,14.5,32.4,46.9,28.5,9.0,7.699999999999999,19.1,26.0,120.2,-14.299999999999999
71,1984,WSB,0.44785714285714284,0.492,0.48481675392670154,0.49401523394994556,0.20512820512820515,0.7266881028938907,46.3,95.5,45.4,91.9,0.8,3.9,22.6,31.1,14.6,34.1,48.800000000000004,29.6,8.0,4.5,20.8,28.9,116.3,-27.599999999999998
72,1985,ATL,0.457,0.501764705882353,0.4798973481608212,0.4889086069210293,0.23076923076923078,0.7436548223350254,56.1,116.9,55.1,112.7,0.9,3.9,29.3,39.4,17.8,39.3,57.0,40.9,11.5,8.1,28.3,36.7,142.6,-33.6
73,1985,BOS,0.46953846153846157,0.5184615384615385,0.49999999999999994,0.5071574642126789,0.3541666666666667,0.801829268292683,51.3,102.60000000000001,49.6,97.8,1.7,4.8,26.3,32.8,15.6,36.0,51.8,33.3,9.7,5.5,19.4,26.5,130.3,-12.0
74,1985,CHI,0.48325,0.5315833333333333,0.49785867237687365,0.5071350164654227,0.15000000000000002,0.784660766961652,46.5,93.4,46.2,91.1,0.30000000000000004,2.0,26.6,33.9,15.7,35.199999999999996,50.4,26.900000000000002,8.4,6.8,19.9,30.0,119.8,-13.000000000000002
75,1985,CLE,0.43042857142857144,0.48071428571428576,0.4603015075376884,0.471898197242842,0.2222222222222222,0.74,45.8,99.5,44.5,94.3,1.2,5.4,25.9,35.0,14.1,31.4,45.4,31.7,8.4,5.2,20.3,28.9,118.30000000000001,-48.699999999999996
76,1985,DAL,0.4635,0.50375,0.48175182481751827,0.49276974416017794,0.3389830508474576,0.7807308970099668,46.2,95.9,44.3,89.9,2.0,5.9,23.5,30.099999999999998,14.7,30.9,45.5,27.900000000000002,7.7,4.3,15.9,24.4,117.9,-20.6
77,1985,DEN,0.48150000000000004,0.5355833333333333,0.4864341085271318,0.491,0.29032258064516125,0.7827380952380952,50.2,103.2,49.1,100.0,0.8999999999999999,3.1,26.3,33.6,17.5,30.2,47.800000000000004,29.2,11.5,5.5,18.1,28.3,127.7,-7.9
78,1985,DET,0.48875,0.5355833333333334,0.47989276139410186,0.48628884826325414,0.26086956521739135,0.7925696594427244,53.7,111.9,53.2,109.4,0.6000000000000001,2.3,25.6,32.300000000000004,19.6,35.5,55.300000000000004,30.6,9.5,5.6,18.6,28.8,133.5,-5.2
